date,MMM,ABT,ABBV,ACN,ATVI,ADBE,AMD,AAP,A,AKAM,ALK,ALB,ALXN,ALGN,ALL,GOOGL,GOOG,MO,AMZN,AAL,AXP,AIG,AMT,AMP,AMGN,APH,ADI,ANTM,APA,AAPL,AMAT,ANET,T,ADSK,ADP,AZO,BKR,BAC,BK,BBY,BIIB,BLK,BA,BKNG,BMY,AVGO,CPB,COF,KMX,CCL,CARR,CAT,CBOE,CF,SCHW,CVX,CMG,CI,CSCO,C,CFG,CLX,KO,CL,CMCSA,COP,STZ,GLW,COST,CSX,CVS,DHR,DRI,DE,DAL,DXCM,FANG,DFS,DG,DLTR,D,DPZ,DOW,DD,EMN,EBAY,EA,EOG,EL,ETSY,ES,RE,EXPE,XOM,FB,FAST,FDX,FE,FLT,FLIR,F,FOX,FCX,GPS,GRMN,IT,GD,GE,GIS,GM,GILD,GS,HAL,HAS,HCA,HPE,HLT,HD,HON,HPQ,HUM,INFO,ILMN,INCY,IR,INTC,IBM,IP,ISRG,J,JNJ,JPM,K,KEY,KEYS,KMB,KMI,KHC,KR,LB,LH,LRCX,LVS,LEN,LLY,LYV,LMT,L,LOW,MRO,MPC,MAR,MA,MCD,MCK,MDT,MRK,MGM,MU,MSFT,TAP,MNST,MCO,MS,NFLX,NWL,NEM,NEE,NKE,NOC,NCLH,NRG,NVDA,ORLY,OXY,ORCL,PYPL,PEP,PFE,PM,PSX,PPG,PG,PWR,QCOM,DGX,RL,RTX,O,REGN,ROP,ROST,RCL,CRM,SLB,STX,NOW,SPG,SNA,LUV,SBUX,SYF,SYY,TMUS,TTWO,TGT,TEL,TER,TXN,TMO,TIF,TJX,TT,TDG,TWTR,TSN,ULTA,UAA,UA,UAL,UNH,UPS,URI,VAR,VZ,VRTX,VIAC,VTRS,V,WMT,WBA,DIS,WM,WAT,WFC,WELL,WDC,WYNN,XEL,XLNX,YUM
2020-04-07,0,0,0,0,0,0,25,0,27,0,0,0,0,0,0,47,55,0,17,29,94,0,0,0,0,0,0,0,0,71,0,0,53,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,18,0,0,0,0,39,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,47,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,45,50,88,46,0,0,0,0,90,21,0,0,0,0,0,0,0,0,0
2020-04-08,0,0,0,0,0,0,25,0,27,0,0,0,0,0,46,0,0,0,33,0,0,0,0,0,0,0,0,0,51,18,0,0,35,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,40,0,80,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,100,0,0,0,0,0,40,0,0,0,0,0,32,0,0,0,0,0,0,0,48,0,0,0,0,51,20,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,86,0,85,0,0,0,0,0,0,0,0,0,0,0,88,50,32,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,45,0,89,0,0,0,44,34,0,41,0,0,88,0,0,0,0,0,0
2020-04-09,0,0,82,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,31,0,0,0,0,0,33,0,75,0,0,0,0,0,48,0,0,0,0,53,40,0,0,0,0,0,46,0,0,0,0,0,0,46,0,0,0,0,90,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,32,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,44,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,46,0,0,0,0,0,45,0,0,21,92,0,0,0,0,0,0,0,0
2020-04-10,0,0,0,0,0,0,0,0,29,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,93,0,0,0,42,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,34,0,52,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,48,0,0,0,0,0,0,49,0,0,0,49,0,0,0,0,0,54,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,22,0,0,0,99,0,0,0,0,0
2020-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,93,0,0,0,0,38,34,0,0,0,0,0,0,0,0,0,0,0,0,0,58,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0,0,0,0,0,20,0,0,40,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-13,0,0,0,0,0,0,26,0,0,0,0,0,0,0,46,0,28,0,17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,20,0,96,0,0,0,0,0,0,0,0,0,0,89,0,0,0,32,0,0,81,0,0,0,0,0,0,0,0,0,0,46,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,20,0,0,0,0,88,46,0,0,0,0,0,0,0,0,81,26,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,81,75,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,44,0,0,0,0,33,0,0,0,65,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,67,0,0,0,51,91,0,0,0,0,0,0,21,0,0,89,0,0,0,0,0,0
2020-04-14,0,0,80,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,17,58,0,0,0,0,0,0,0,0,100,44,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,31,0,48,0,0,0,0,0,0,0,47,84,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,76,100,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,18,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,91,0,0,0,0,0,0,0,44,0,0,20,0,0,0,0,0,51,0,0,0
2020-04-15,0,0,0,0,0,0,50,0,27,0,88,0,0,0,0,0,0,0,33,29,0,0,83,0,0,0,0,0,0,18,0,0,46,0,0,0,0,46,0,90,0,0,26,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,89,49,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,25,45,87,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,90,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,32,0,0,0,50,88,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-16,46,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,54,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,45,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,60,95,0,0,0,0,0,0,64,0,0,0,0,0,47,0,0,0,0,51,39,0,0,0,0,0,45,0,0,0,88,0,0,0,0,79,39,45,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,31,0,50,0,0,0,0,85,0,0,87,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
